ID,Legacy ID,First Name,Last Name,Department,Average Rating,Number of Ratings,Average Difficulty,Would Take Again %,School Name,School ID,RMP URL
VGVhY2hlci0yNTYwNjkx,2560691,Tara,Mulder,Classical Studies,4.9,22,2.2,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2560691
VGVhY2hlci0xNDUzMjc3,1453277,Jan,Bena,Finance,2.8,18,3.9,66.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1453277
VGVhY2hlci0yMTExMzg0,2111384,Gavin,Paul,English,4.3,11,3.5,72.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2111384
VGVhY2hlci0xNjAwNDIy,1600422,Ron,Velin,Business,1.0,1,5.0,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1600422
VGVhY2hlci0yMDUzNTI0,2053524,Anders,Kraal,Philosophy,4.6,344,2.6,87.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2053524
VGVhY2hlci0yNDE1MzYy,2415362,Emrul,Hasan,Economics,4.1,152,3.3,76.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2415362
VGVhY2hlci0yNzI4ODQ5,2728849,Hessam,Dehghani,Languages,3.6,20,2.7,60.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2728849
VGVhY2hlci0yNDg0NTU1,2484555,Michael,Schandorf,Writing,3.7,99,3.6,64.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2484555
VGVhY2hlci0yNTQ1MjAz,2545203,William,Green,English,2.4,17,4.1,29.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2545203
VGVhY2hlci0zMTExMzc0,3111374,Moira,Aikenhead,Law,3.0,2,3.0,50.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3111374
VGVhY2hlci0xMTI0Nzg4,1124788,Sathish,Gopalakrishnan,Electrical & Comp. Engineering,3.7,79,4.1,68.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1124788
VGVhY2hlci03MDY3NDY=,706746,Joshua,Folk,Physics,2.7,62,3.8,55.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/706746
VGVhY2hlci0xOTgxNTg2,1981586,Tamara,Etmannski,Chemical  Biological Engin.,3.4,23,3.0,57.1,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1981586
VGVhY2hlci0yNjc4OTEz,2678913,Lisa,Loutzenheiser,"Gender, Race, Sexuality & Social Justice",2.1,7,3.9,28.6,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2678913
VGVhY2hlci0zMDE5MTY1,3019165,Rashmi,Prakash,Engineering,2.0,5,2.2,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3019165
VGVhY2hlci01NTg1MA==,55850,Michael,Vaney,Economics,3.1,188,3.8,34.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/55850
VGVhY2hlci0zMTc0NjY=,317466,Warren,Williams,Biochemistry,4.0,106,3.6,63.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/317466
VGVhY2hlci0yODMwNjI5,2830629,Ocean,Lu,Accounting,1.0,5,4.4,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2830629
VGVhY2hlci0xOTkxMTQ4,1991148,Graham,Reynolds,Law,5.0,3,2.0,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1991148
VGVhY2hlci0yMTE1NzMw,2115730,Jason,Hein,Chemistry,4.8,60,3.0,96.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2115730
VGVhY2hlci0xODc1NTkx,1875591,Sha,Liao,Business,4.4,45,2.9,82.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1875591
VGVhY2hlci0yNjI1NjAy,2625602,Fernanda,Tomaselli,Land & Food Systems,5.0,24,1.7,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2625602
VGVhY2hlci0yODk0MDQ4,2894048,Mathias,Lecuyer,Computer Science,2.0,3,2.7,33.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2894048
VGVhY2hlci0zODA3Nw==,38077,Gregor,Kiczales,Computer Science,3.9,254,3.7,76.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/38077
VGVhY2hlci0zMTExOTk4,3111998,Pierre,Bérubé,Environmental Studies,1.0,1,5.0,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3111998
VGVhY2hlci0xOTg1OTk=,198599,Grenfell,Patey,Chemistry,3.9,99,2.3,43.8,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/198599
VGVhY2hlci0xODE1Mjg=,181528,Mike,Bennett,Mathematics,3.8,63,3.7,52.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/181528
VGVhY2hlci0yNTY2NTg=,256658,Thomas,Kemple,Sociology,4.7,46,3.1,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/256658
VGVhY2hlci0yNzE0MzU1,2714355,Alyssa,Alexander,Sociology,4.7,45,1.7,93.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2714355
VGVhY2hlci0yNzY2MjMy,2766232,Jaclyn,Dee,Biology,2.3,42,3.1,26.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2766232
VGVhY2hlci0yMTE4MTEw,2118110,Jason,Lieblang,German,4.4,28,3.2,88.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2118110
VGVhY2hlci0yNzk3NTA0,2797504,Haley,Blum,Asian Studies,2.6,25,3.1,40.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2797504
VGVhY2hlci0yMjg4NjM1,2288635,Liza,Bolen,French Hispanic & Italian Stud,5.0,24,2.4,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2288635
VGVhY2hlci0xNzEwODgy,1710882,Katherine,Ryan,Chemistry,4.1,19,2.8,90.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1710882
VGVhY2hlci0yNTQ2OTI3,2546927,Erin,Egeland,Accounting,2.9,16,3.8,37.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2546927
VGVhY2hlci0zMDcxMTQ1,3071145,Mehran,Jamshidi,Business,5.0,4,1.8,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3071145
VGVhY2hlci0yNzIxNTg0,2721584,Donald,Wong,Biology,4.8,36,2.6,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2721584
VGVhY2hlci0yNDE5Nw==,24197,Izabella,Laba,Mathematics,3.3,40,2.6,65.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/24197
